country,region,income,health,population
Afghanistan,ASIA (EX. NEAR EAST),1925,57.63,32526562
Albania,EASTERN EUROPE,10620,76,2896679
Algeria,NORTHERN AFRICA,13434,76.5,39666519
Andorra,WESTERN EUROPE,46577,84.1,70473
Angola,SUB-SAHARAN AFRICA,7615,61,25021974
Antigua and Barbuda,LATIN AMER. & CARIB,21049,75.2,91818
Argentina,LATIN AMER. & CARIB,17344,76.2,43416755
Armenia,C.W. OF IND. STATES,7763,74.4,3017712
Australia,OCEANIA,44056,81.8,23968973
Austria,WESTERN EUROPE,44401,81,8544586
Azerbaijan,C.W. OF IND. STATES,16986,72.9,9753968
Bahamas,LATIN AMER. & CARIB,22818,72.3,388019
Bahrain,NEAR EAST,44138,79.2,1377237
Bangladesh,ASIA (EX. NEAR EAST),3161,70.1,160995642
Barbados,LATIN AMER. & CARIB,12984,75.8,284215
Belarus,C.W. OF IND. STATES,17415,70.4,9495826
Belgium,WESTERN EUROPE,41240,80.4,11299192
Belize,LATIN AMER. & CARIB,8501,70,359287
Benin,SUB-SAHARAN AFRICA,1830,65.5,10879829
Bhutan,ASIA (EX. NEAR EAST),7983,70.2,774830
Bolivia,LATIN AMER. & CARIB,6295,72.3,10724705
Bosnia and Herzegovina,EASTERN EUROPE,9833,77.9,3810416
Botswana,SUB-SAHARAN AFRICA,17196,66.4,2262485
Brazil,LATIN AMER. & CARIB,15441,75.6,207847528
Brunei,ASIA (EX. NEAR EAST),73003,78.7,423188
Bulgaria,EASTERN EUROPE,16371,74.9,7149787
Burkina Faso,SUB-SAHARAN AFRICA,1654,62.8,18105570
Burundi,SUB-SAHARAN AFRICA,777,60.4,11178921
Cambodia,ASIA (EX. NEAR EAST),3267,68.4,15577899
Cameroon,SUB-SAHARAN AFRICA,2897,59.5,23344179
Canada,NORTHERN AMERICA,43294,81.7,35939927
Cape Verde,SUB-SAHARAN AFRICA,6514,74.6,520502
Central African Republic,SUB-SAHARAN AFRICA,599,53.8,4900274
Chad,SUB-SAHARAN AFRICA,2191,57.7,14037472
Chile,LATIN AMER. & CARIB,22465,79.3,17948141
China,ASIA (EX. NEAR EAST),13334,76.9,1376048943
Colombia,LATIN AMER. & CARIB,12761,75.8,48228704
Comoros,SUB-SAHARAN AFRICA,1472,64.1,788474
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA,809,58.3,77266814
"Congo, Rep.",SUB-SAHARAN AFRICA,6220,61.9,4620330
Costa Rica,LATIN AMER. & CARIB,14132,80,4807850
Cote d'Ivoire,SUB-SAHARAN AFRICA,3491,60.33,22701556
Croatia,EASTERN EUROPE,20260,78,4240317
Cuba,LATIN AMER. & CARIB,21291,78.5,11389562
Cyprus,NEAR EAST,29797,82.6,1165300
Czech Republic,EASTERN EUROPE,29437,78.6,10543186
Denmark,WESTERN EUROPE,43495,80.1,5669081
Djibouti,SUB-SAHARAN AFRICA,3139,64.63,887861
Dominica,LATIN AMER. & CARIB,10503,74.6,72680
Dominican Republic,LATIN AMER. & CARIB,12837,73.8,10528391
Ecuador,LATIN AMER. & CARIB,10996,75.2,16144363
Egypt,NORTHERN AFRICA,11031,71.3,91508084
El Salvador,LATIN AMER. & CARIB,7776,74.1,6126583
Equatorial Guinea,SUB-SAHARAN AFRICA,31087,60.63,845060
Eritrea,SUB-SAHARAN AFRICA,1129,62.9,5227791
Estonia,BALTICS,26812,76.8,1312558
Ethiopia,SUB-SAHARAN AFRICA,1520,63.6,99390750
Fiji,OCEANIA,7925,66.3,892145
Finland,WESTERN EUROPE,38923,80.8,5503457
France,WESTERN EUROPE,37599,81.9,64395345
Gabon,SUB-SAHARAN AFRICA,18627,60.53,1725292
Gambia,SUB-SAHARAN AFRICA,1644,65.1,1990924
Georgia,C.W. OF IND. STATES,7474,73.3,3999812
Germany,WESTERN EUROPE,44053,81.1,80688545
Ghana,SUB-SAHARAN AFRICA,4099,65.5,27409893
Greece,WESTERN EUROPE,25430,79.8,10954617
Grenada,LATIN AMER. & CARIB,11593,71.7,106825
Guatemala,LATIN AMER. & CARIB,7279,73.1,16342897
Guinea,SUB-SAHARAN AFRICA,1225,60.8,12608590
Guinea-Bissau,SUB-SAHARAN AFRICA,1386,53.4,1844325
Guyana,LATIN AMER. & CARIB,6816,64.4,767085
Haiti,LATIN AMER. & CARIB,1710,65.3,10711067
Honduras,LATIN AMER. & CARIB,4270,72.4,8075060
Hungary,EASTERN EUROPE,24200,76.2,9855023
Iceland,WESTERN EUROPE,42182,82.8,329425
India,ASIA (EX. NEAR EAST),5903,66.8,1311050527
Indonesia,ASIA (EX. NEAR EAST),10504,70.9,257563815
Iran,ASIA (EX. NEAR EAST),15573,78.5,79109272
Iraq,NEAR EAST,14646,72.1,36423395
Ireland,WESTERN EUROPE,47758,80.4,4688465
Israel,NEAR EAST,31590,82.4,8064036
Italy,WESTERN EUROPE,33297,82.1,59797685
Jamaica,LATIN AMER. & CARIB,8606,75.5,2793335
Japan,ASIA (EX. NEAR EAST),36162,83.5,126573481
Jordan,NEAR EAST,11752,78.3,7594547
Kazakhstan,C.W. OF IND. STATES,23468,68.2,17625226
Kenya,SUB-SAHARAN AFRICA,2898,66.63,46050302
Kiribati,OCEANIA,1824,62.4,112423
Kuwait,NEAR EAST,82633,80.7,3892115
Kyrgyz Republic,C.W. OF IND. STATES,3245,69,5939962
Lao,ASIA (EX. NEAR EAST),5212,66.4,6802023
Latvia,BALTICS,23282,75.7,1970503
Lebanon,NEAR EAST,17050,78.5,5850743
Lesotho,SUB-SAHARAN AFRICA,2598,48.5,2135022
Liberia,SUB-SAHARAN AFRICA,958,63.9,4503438
Libya,NORTHERN AFRICA,17261,76.2,6278438
Lithuania,BALTICS,26665,75.4,2878405
Luxembourg,WESTERN EUROPE,88314,81.1,567110
"Macedonia, FYR",EASTERN EUROPE,12547,77,2078453
Madagascar,SUB-SAHARAN AFRICA,1400,64.7,24235390
Malawi,SUB-SAHARAN AFRICA,799,60.22,17215232
Malaysia,ASIA (EX. NEAR EAST),24320,75.1,30331007
Maldives,ASIA (EX. NEAR EAST),14408,79.5,363657
Mali,SUB-SAHARAN AFRICA,1684,57.6,17599694
Malta,WESTERN EUROPE,30265,82.1,418670
Marshall Islands,OCEANIA,3661,65.1,52993
Mauritania,SUB-SAHARAN AFRICA,3877,65.7,4067564
Mauritius,SUB-SAHARAN AFRICA,18350,73.9,1273212
Mexico,LATIN AMER. & CARIB,16850,74.5,127017224
